Step;t;t_d;theta_a;K;theta_o;theta_h1;theta_h2;theta_h;L;L_d
0;0;14:00;30.3;0.81;40.9;16.6;-8.3;49.2;0.0;0.0
1;3;14:03;30.3;0.81;41.8;24.4;-9.0;57.2;0.0;0.0
2;6;14:06;30.3;0.81;42.7;30.6;-9.7;63.6;0.0;0.0
3;9;14:09;30.3;0.81;43.6;35.5;-10.4;68.6;0.0;0.0
4;12;14:12;30.3;0.81;44.4;39.3;-11.1;72.6;0.0;0.0
5;15;14:15;30.3;0.81;45.1;42.3;-11.7;75.7;0.0;0.0
6;18;14:18;30.3;0.81;45.9;44.6;-12.3;78.2;0.0;0.0
7;21;14:21;30.3;0.81;46.6;46.5;-12.9;80.2;0.0;0.0
8;24;14:24;30.3;0.81;47.3;47.9;-13.4;81.8;0.0;0.0
9;27;14:27;30.3;0.81;48.0;49.0;-13.9;83.1;1.0;0.0
10;30;14:30;30.3;0.81;48.6;49.9;-14.4;84.1;1.0;0.0
11;33;14:33;30.3;0.81;49.2;50.6;-14.9;84.9;1.0;0.0
12;36;14:36;30.3;0.81;49.8;51.2;-15.4;85.6;1.0;0.0
13;39;14:39;30.3;0.81;50.4;51.6;-15.8;86.2;1.0;0.0
14;42;14:42;30.3;0.81;50.9;52.0;-16.3;86.6;2.0;0.0
15;45;14:45;30.3;0.81;51.4;52.2;-16.7;87.0;2.0;0.0
16;48;14:48;30.3;0.81;51.9;52.5;-17.1;87.3;2.0;0.0
17;51;14:51;30.3;0.81;52.4;52.6;-17.5;87.6;2.0;0.0
18;54;14:54;30.3;0.81;52.9;52.7;-17.8;87.8;3.0;0.0
19;57;14:57;30.3;0.81;53.3;52.9;-18.2;88.0;3.0;0.0
20;60;15:00;30.3;0.81;53.7;52.9;-18.5;88.2;3.0;0.0
21;63;15:03;30.3;0.81;54.1;53.0;-18.8;88.3;4.0;0.0
22;66;15:06;30.3;0.81;54.5;53.0;-19.2;88.4;4.0;0.0
23;69;15:09;30.3;0.81;54.9;53.1;-19.5;88.5;4.0;0.0
24;72;15:12;30.3;0.81;55.3;53.1;-19.7;88.6;4.0;0.0
25;75;15:15;30.3;0.81;55.6;53.1;-20.0;88.7;5.0;0.0
26;78;15:18;30.3;0.81;55.9;53.2;-20.3;88.8;5.0;0.0
27;81;15:21;30.3;0.81;56.3;53.2;-20.5;88.9;5.0;0.0
28;84;15:24;30.3;0.81;56.6;53.2;-20.8;89.0;6.0;0.0
29;87;15:27;30.3;0.81;56.9;53.2;-21.0;89.1;6.0;0.0
30;90;15:30;30.3;0.81;57.1;53.2;-21.2;89.1;6.0;0.0
31;93;15:33;30.3;0.81;57.4;53.2;-21.4;89.2;7.0;0.0
32;96;15:36;30.3;0.81;57.7;53.2;-21.7;89.2;7.0;0.0
33;99;15:39;30.3;0.81;57.9;53.2;-21.9;89.3;7.0;0.0
34;102;15:42;30.3;0.81;58.2;53.2;-22.0;89.3;8.0;0.01
35;105;15:45;30.3;0.81;58.4;53.2;-22.2;89.4;8.0;0.01
36;108;15:48;30.3;0.81;58.6;53.2;-22.4;89.4;8.0;0.01
37;111;15:51;30.3;0.81;58.8;53.2;-22.6;89.5;9.0;0.01
38;114;15:54;30.3;0.81;59.0;53.2;-22.7;89.5;9.0;0.01
39;117;15:57;30.3;0.81;59.2;53.2;-22.9;89.6;9.0;0.01
40;120;16:00;30.3;0.81;59.4;53.2;-23.0;89.6;10.0;0.01
