Step;t;t_d;theta_a;K;theta_o;theta_h;L;L_d
0;0;14:00;30.3;0.81;40.9;49.2;0.0;0.0
1;3;14:03;30.3;0.81;41.8;56.4;0.0;0.0
2;6;14:06;30.3;0.81;42.7;62.3;0.0;0.0
3;9;14:09;30.3;0.81;43.5;67.1;0.0;0.0
4;12;14:12;30.3;0.81;44.3;71.0;0.0;0.0
5;15;14:15;30.3;0.81;45.1;74.1;0.0;0.0
6;18;14:18;30.3;0.81;45.8;76.7;0.0;0.0
7;21;14:21;30.3;0.81;46.5;78.8;0.0;0.0
8;24;14:24;30.3;0.81;47.2;80.5;0.0;0.0
9;27;14:27;30.3;0.81;47.9;81.9;1.0;0.0
10;30;14:30;30.3;0.81;48.5;83.1;1.0;0.0
11;33;14:33;30.3;0.81;49.1;84.0;1.0;0.0
12;36;14:36;30.3;0.81;49.7;84.8;1.0;0.0
13;39;14:39;30.3;0.81;50.2;85.5;1.0;0.0
14;42;14:42;30.3;0.81;50.8;86.0;1.0;0.0
15;45;14:45;30.3;0.81;51.3;86.5;2.0;0.0
16;48;14:48;30.3;0.81;51.8;86.9;2.0;0.0
17;51;14:51;30.3;0.81;52.3;87.2;2.0;0.0
18;54;14:54;30.3;0.81;52.7;87.5;2.0;0.0
19;57;14:57;30.3;0.81;53.1;87.7;3.0;0.0
20;60;15:00;30.3;0.81;53.6;87.9;3.0;0.0
21;63;15:03;30.3;0.81;54.0;88.1;3.0;0.0
22;66;15:06;30.3;0.81;54.4;88.2;4.0;0.0
23;69;15:09;30.3;0.81;54.7;88.4;4.0;0.0
24;72;15:12;30.3;0.81;55.1;88.5;4.0;0.0
25;75;15:15;30.3;0.81;55.4;88.6;4.0;0.0
26;78;15:18;30.3;0.81;55.8;88.7;5.0;0.0
27;81;15:21;30.3;0.81;56.1;88.8;5.0;0.0
28;84;15:24;30.3;0.81;56.4;88.9;5.0;0.0
29;87;15:27;30.3;0.81;56.7;89.0;6.0;0.0
30;90;15:30;30.3;0.81;57.0;89.0;6.0;0.0
31;93;15:33;30.3;0.81;57.3;89.1;6.0;0.0
32;96;15:36;30.3;0.81;57.5;89.2;7.0;0.0
33;99;15:39;30.3;0.81;57.8;89.2;7.0;0.0
34;102;15:42;30.3;0.81;58.0;89.3;7.0;0.0
35;105;15:45;30.3;0.81;58.2;89.3;8.0;0.01
36;108;15:48;30.3;0.81;58.5;89.4;8.0;0.01
37;111;15:51;30.3;0.81;58.7;89.4;8.0;0.01
38;114;15:54;30.3;0.81;58.9;89.5;9.0;0.01
39;117;15:57;30.3;0.81;59.1;89.5;9.0;0.01
40;120;16:00;30.3;0.81;59.3;89.6;9.0;0.01
