Step;Time;Time of day;Ambient temperature;Load factor
Step;t;t_d;theta_a;K
[];min;h:min;°C;[]
0;0;14:00;30.3;0.81
1;3;14:03;29.9;0.87
2;6;14:06;29.8;0.88
3;9;14:09;29.5;0.86
4;12;14:12;29.6;0.90
5;15;14:15;29.5;0.92
6;18;14:18;29.5;0.95
7;21;14:21;28.9;0.96
8;24;14:24;29.0;0.97
9;27;14:27;28.6;1.00
10;30;14:30;28.0;1.70
11;33;14:33;28.7;1.70
12;36;14:36;27.8;1.73
13;39;14:39;28.1;1.72
14;42;14:42;27.9;1.69
15;45;14:45;27.1;1.68
16;48;14:48;26.9;1.71
17;51;14:51;26.7;1.69
18;54;14:54;27.2;1.67
19;57;14:57;26.7;1.68
20;60;15:00;26.9;1.63
21;63;15:03;26.5;1.59
22;66;15:06;26.2;1.53
23;69;15:09;26.3;1.49
24;72;15:12;25.4;1.41
25;75;15:15;25.6;1.38
26;78;15:18;25.3;1.32
27;81;15:21;24.8;1.28
28;84;15:24;24.5;1.21
29;87;15:27;24.3;1.19
30;90;15:30;24.1;0.87
31;93;15:33;24.3;0.88
32;96;15:36;24.1;0.87
33;99;15:39;23.4;0.86
34;102;15:42;23.6;0.85
35;105;15:45;23.8;0.87
36;108;15:48;23.1;0.83
37;111;15:51;23.3;0.86
38;114;15:54;23.1;0.85
39;117;15:57;22.3;0.82
40;120;16:00;22.2;0.86
