Step;Time;Time of day;Hotspot temperature;Loss of life;Loss of days
Step;t;t_d;theta_h;L;L_d
[];min;h:min;°C;min;days
0;0;14:00;90.5;0;0.00
1;3;14:03;91.6;0;0.00
2;6;14:06;92.7;1;0.00
3;9;14:09;93.2;1;0.00
4;12;14:12;94.3;2;0.00
5;15;14:15;95.6;3;0.00
6;18;14:18;97.2;3;0.00
7;21;14:21;98.6;4;0.00
8;24;14:24;100.0;5;0.00
9;27;14:27;101.6;7;0.00
10;30;14:30;118.6;14;0.01
11;33;14:33;132.1;39;0.03
12;36;14:36;143.5;109;0.08
13;39;14.39;152.4;258;0.18
14;42;14:42;158.8;508;0.35
15;45;14:45;163.6;875;0.61
16;48;14:48;168.2;1402;0.97
17;51;14:51;171.5;2076;1.44
18;54;14:54;173.6;2871;1.99
19;57;14:57;175.7;3796;2.64
20;60;15:00;176.1;4754;3.30
21;63;15:03;175.6;5675;3.94
22;66;15:06;173.8;6480;4.50
23;69;15:09;171.5;7156;4.97
24;72;15:12;167.8;7667;5.32
25;75;15:15;164.3;8055;5.59
26;78;15:18;160.1;8335;5.79
27;81;15:21;156.0;8534;5.93
28;84;15:24;151.1;8668;6.02
29;87;15:27;146.8;8761;6.08
30;90;15:30;136.9;8800;6.11
31;93;15:33;129.1;8819;6.12
32;96;15:36;122.8;8830;6.13
33;99;15:39;117.5;8836;6.14
34;102;15:42;113.1;8840;6.14
35;105;15:45;110.0;8843;6.14
36;108;15:48;106.6;8846;6.14
37;111;15:51;104.5;8847;6.14
38;114;15:54;102.6;8849;6.14
39;117;15:57;100.4;8850;6.15
40;120;16:00;99.3;8851;6.15
