t;K;theta_a;theta_o;theta_h;ll
0;0.369;22.1;41.8;49.3;0
1;0.3687;22.1;41.7;49.3;0
2;0.3686;22.2;41.7;49.3;0
3;0.3683;22.1;41.7;49.2;0
4;0.3671;22.2;41.7;49.2;0
5;0.366;22.1;41.7;49.1;0
6;0.3677;22.1;41.7;49.0;0
7;0.369;22.1;41.6;49.1;0
8;0.3692;22.1;41.6;49.0;0
9;0.3672;22.0;41.5;49.0;0
10;0.3678;22.1;41.6;49.0;0
11;0.3654;22.0;41.6;48.7;0
12;0.3669;22.1;41.6;48.9;0
13;0.3672;22.1;41.5;48.9;0
14;0.3644;22.0;41.5;48.6;0
15;0.3639;22.1;41.4;48.6;0
16;0.3636;22.1;41.5;48.6;0
17;0.364;22.0;41.5;48.7;0
18;0.3661;22.0;41.4;48.5;0
19;0.3667;22.0;41.4;48.5;0
20;0.3658;22.0;41.4;48.6;0
21;0.3672;21.9;41.3;48.4;0
22;0.3685;22.0;41.3;48.7;0
23;0.366;21.9;41.3;48.3;0
24;0.3656;21.9;41.3;48.5;0
25;0.3664;21.9;41.3;48.5;0
26;0.3665;22.0;41.3;48.3;0
27;0.3652;21.9;41.3;48.5;0
28;0.3661;21.9;41.2;48.4;0
29;0.3647;21.8;41.2;48.2;0
30;0.3641;21.9;41.2;48.2;0
31;0.3618;21.8;41.2;48.1;0
32;0.3611;21.9;41.2;48.1;0
33;0.3615;21.9;41.2;48.1;0
34;0.361;21.9;41.2;48.0;0
35;0.3595;21.9;41.2;48.1;0
36;0.3606;21.9;41.1;48.0;0
37;0.3615;21.9;41.1;48.0;0
38;0.3619;21.9;41.1;47.9;0
39;0.3637;21.9;41.1;47.9;0
40;0.3632;21.9;41.1;47.7;0
41;0.3638;21.9;41.1;47.8;0
42;0.3648;21.8;41.1;47.9;0
43;0.3641;21.8;41.1;47.8;0
44;0.3637;21.8;41.0;47.9;0
45;0.3616;21.9;41.0;47.7;0
46;0.3629;21.8;41.0;47.7;0
47;0.3623;21.8;41.0;47.7;0
48;0.3616;21.8;41.0;47.7;0
49;0.36;21.8;41.0;47.7;0
50;0.3594;21.8;41.0;47.7;0
51;0.3594;21.8;41.0;47.6;0
52;0.3602;21.8;41.0;47.7;0
53;0.3599;21.9;40.9;47.6;0
54;0.3598;21.8;40.9;47.6;0
55;0.3611;21.9;40.9;47.5;0
56;0.3637;21.9;40.9;47.5;0
57;0.3632;21.9;40.9;47.5;0
58;0.3595;21.9;40.9;47.6;0
59;0.3594;21.9;40.9;47.5;0
60;0.3595;21.9;40.9;47.5;0
61;0.3576;21.8;40.9;47.4;0
62;0.3584;21.8;40.9;47.5;0
63;0.358;21.8;40.8;47.4;0
64;0.3573;21.8;40.8;47.3;0
65;0.3579;21.8;40.8;47.3;0
66;0.3561;21.9;40.8;47.3;0
67;0.3558;21.8;40.7;47.2;0
68;0.3574;21.8;40.7;47.3;0
69;0.3583;21.8;40.7;47.2;0
70;0.3596;21.8;40.8;47.1;0
71;0.3573;21.8;40.8;47.2;0
72;0.3583;21.8;40.8;47.2;0
73;0.3576;21.9;40.7;47.2;0
74;0.3563;21.9;40.6;47.1;0
75;0.3564;21.9;40.6;47.0;0
76;0.3576;21.9;40.6;47.1;0
77;0.3575;21.9;40.6;47.1;0
78;0.3569;21.9;40.6;47.0;0
79;0.3542;21.9;40.6;47.0;0
80;0.3573;21.9;40.6;46.9;0
81;0.3563;22.0;40.6;47.0;0
82;0.3554;21.9;40.5;46.9;0
83;0.3544;21.9;40.5;46.8;0
