t;K;theta_a;theta_o;theta_h;ll
0;0.4343;26.7;43.2;51.1;0
1;0.4331;26.8;43.2;51.1;0
2;0.4327;26.8;43.2;51.2;0
3;0.4343;26.7;43.3;51.2;0
4;0.4335;26.8;43.3;51.2;0
5;0.433;26.8;43.4;51.2;0
6;0.4323;26.8;43.4;51.2;0
7;0.4349;26.9;43.4;51.2;0
8;0.4356;26.9;43.5;51.1;0
9;0.4322;27.0;43.6;51.1;0
10;0.4319;27.0;43.5;51.1;0
11;0.4339;27.1;43.6;51.2;0
12;0.4317;27.1;43.7;51.1;0
13;0.4353;27.1;43.6;51.1;0
14;0.4359;27.0;43.7;51.3;0
15;0.4358;27.1;43.8;51.2;0
16;0.4346;27.0;43.7;51.3;0
17;0.4343;27.0;43.8;51.2;0
18;0.4346;27.1;43.8;51.3;0
19;0.4364;27.1;43.9;51.4;0
20;0.4338;27.1;43.9;51.4;0
21;0.4299;27.0;43.9;51.4;0
22;0.4321;27.0;43.9;51.4;0
23;0.4323;26.9;43.9;51.3;0
24;0.4337;26.8;44.0;51.3;0
25;0.4325;26.8;44.1;51.4;0
26;0.4329;26.9;44.0;51.3;0
27;0.4327;26.8;44.0;51.4;0
28;0.4339;26.8;44.0;51.5;0
29;0.432;26.8;44.2;51.4;0
30;0.4325;26.7;44.2;51.4;0
31;0.4357;26.8;44.2;51.5;0
32;0.4341;26.8;44.3;51.5;0
33;0.433;26.9;44.3;51.6;0
34;0.4317;26.9;44.3;51.5;0
35;0.4322;26.9;44.4;51.9;0
36;0.4328;26.9;44.5;51.5;0
37;0.4325;26.8;44.4;51.5;0
38;0.431;26.9;44.5;51.6;0
39;0.4352;26.9;44.5;51.6;0
40;0.4347;27.0;44.5;51.8;0
41;0.4341;26.9;44.6;51.6;0
42;0.4371;26.9;44.7;51.9;0
43;0.4356;27.0;44.6;51.9;0
44;0.437;26.9;44.6;51.7;0
45;0.4358;26.8;44.6;52.1;0
46;0.4331;26.8;44.6;51.9;0
47;0.4342;26.8;44.7;51.9;0
48;0.4361;26.8;44.8;52.0;0
49;0.4368;26.9;44.8;52.2;0
50;0.4345;26.8;44.8;52.1;0
51;0.4338;26.8;44.9;52.1;0
52;0.4336;26.7;44.9;52.1;0
53;0.4346;26.7;44.9;52.2;0
54;0.4352;26.8;44.9;52.1;0
55;0.4338;26.5;44.9;52.1;0
56;0.4366;26.5;44.9;52.1;0
57;0.4348;26.6;44.9;52.2;0
58;0.4357;26.7;44.9;52.1;0
59;0.4356;26.7;45.0;52.2;0
60;0.4339;26.7;45.0;52.1;0
61;0.4325;26.8;45.0;52.2;0
62;0.4339;26.8;45.0;52.2;0
63;0.434;26.9;45.0;52.1;0
64;0.4332;26.9;45.0;52.2;0
65;0.4352;26.8;45.0;52.3;0
66;0.4349;26.8;45.0;52.3;0
67;0.4366;26.9;45.0;52.2;0
68;0.4344;26.9;45.0;52.3;0
69;0.4368;26.8;45.0;52.3;0
70;0.435;26.8;45.0;52.4;0
71;0.4334;26.9;45.0;52.3;0
72;0.4352;27.0;45.0;52.3;0
73;0.4343;27.0;45.0;52.4;0
74;0.4319;27.1;45.0;52.4;0
75;0.4334;27.0;45.0;52.4;0
76;0.4331;27.2;45.0;52.5;0
77;0.4352;27.2;45.0;52.4;0
78;0.4375;27.2;45.0;52.2;0
79;0.4349;27.2;45.0;52.6;0
80;0.4341;27.2;45.0;52.6;0
81;0.437;27.2;44.9;52.6;0
82;0.4341;27.2;44.9;52.5;0
83;0.4336;27.2;44.9;52.5;0
84;0.431;27.2;44.9;52.6;0
85;0.4363;27.2;45.0;52.6;0
86;0.4328;27.2;45.0;52.6;0
87;0.4349;27.3;45.0;52.6;0
88;0.4325;27.2;44.9;52.6;0
89;0.4331;27.2;44.9;52.6;0
90;0.4338;27.2;44.9;52.6;0
91;0.4343;27.2;44.9;52.7;0
92;0.4342;27.2;44.9;52.7;0
93;0.4359;27.3;44.9;52.7;0
94;0.4345;27.3;44.9;52.7;0
95;0.4346;27.3;44.9;52.7;0
96;0.4316;27.3;44.9;52.7;0
97;0.4307;27.3;44.9;52.7;0
98;0.4318;27.4;44.9;52.8;0
99;0.4333;27.4;44.9;52.8;0
100;0.4333;27.4;44.9;52.7;0
101;0.4316;27.4;44.9;52.7;0
102;0.4313;27.4;44.9;52.7;0
103;0.4303;27.4;44.9;52.7;0
104;0.4325;27.4;44.9;52.7;0
105;0.4294;27.3;44.9;52.8;0
106;0.4287;27.3;44.9;52.7;0
107;0.4283;27.3;44.9;52.8;0
108;0.4262;27.3;44.9;52.7;0
109;0.4225;27.3;44.9;52.7;0
110;0.4229;27.4;44.9;52.7;0
111;0.4236;27.4;44.9;52.6;0
112;0.4234;27.4;44.9;52.6;0
113;0.4236;27.4;44.9;52.6;0
114;0.4218;27.4;44.9;52.6;0
115;0.4221;27.5;44.9;52.7;0
116;0.4223;27.5;44.9;52.7;0
117;0.4226;27.5;44.9;52.7;0
118;0.421;27.6;44.9;52.7;0
119;0.4219;27.5;44.9;52.7;0
120;0.4231;27.5;44.9;52.7;0
121;0.4234;27.5;44.9;52.6;0
122;0.4247;27.5;44.9;52.7;0
123;0.4218;27.5;44.9;52.7;0
124;0.4246;27.5;45.0;52.7;0
125;0.4246;27.5;44.9;52.8;0
126;0.4233;27.5;44.9;52.7;0
127;0.4237;27.5;44.9;52.8;0
128;0.4222;27.5;44.9;52.8;0
129;0.4237;27.5;45.0;52.7;0
130;0.4223;27.5;44.9;52.7;0
