Step;t;t_d;theta_a;K;theta_o;theta_ho;theta_ho_dot;theta_h;L;L_d
0;0;14:00;30.3;0.81;63.9;26.6;0.0;90.5;0.0;0.0
1;3;14:03;29.9;0.87;64.0;26.6;0.0;90.6;0.0;0.0
2;6;14:06;29.8;0.88;64.2;26.6;0.0;90.8;1.0;0.0
3;9;14:09;29.5;0.86;64.2;26.7;0.0;90.9;1.0;0.0
4;12;14:12;29.6;0.9;64.4;26.7;0.0;91.1;2.0;0.0
5;15;14:15;29.5;0.92;64.6;26.8;0.0;91.4;2.0;0.0
6;18;14:18;29.5;0.95;64.9;26.9;0.0;91.8;2.0;0.0
7;21;14:21;28.9;0.96;65.1;27.0;0.0;92.1;3.0;0.0
8;24;14:24;29.0;0.97;65.4;27.2;0.1;92.6;3.0;0.0
9;27;14:27;28.6;1.0;65.7;27.3;0.1;93.1;4.0;0.0
10;30;14:30;28.0;1.7;68.2;27.5;0.2;95.7;4.0;0.0
11;33;14:33;28.7;1.7;70.6;28.0;0.2;98.6;5.0;0.0
12;36;14:36;27.8;1.73;72.9;28.8;0.3;101.7;7.0;0.0
13;39;14:39;28.1;1.72;75.2;29.7;0.3;104.8;8.0;0.01
14;42;14:42;27.9;1.69;77.2;30.7;0.4;107.9;11.0;0.01
15;45;14:45;27.1;1.68;79.1;31.8;0.4;110.9;14.0;0.01
16;48;14:48;26.9;1.71;81.0;33.0;0.4;114.0;19.0;0.01
17;51;14:51;26.7;1.69;82.8;34.2;0.4;117.0;25.0;0.02
18;54;14:54;27.2;1.67;84.4;35.4;0.4;119.8;33.0;0.02
19;57;14:57;26.7;1.68;86.0;36.6;0.4;122.6;43.0;0.03
20;60;15:00;26.9;1.63;87.3;37.8;0.4;125.1;56.0;0.04
21;63;15:03;26.5;1.59;88.5;38.9;0.4;127.4;73.0;0.05
22;66;15:06;26.2;1.53;89.3;40.0;0.3;129.3;92.0;0.06
23;69;15:09;26.3;1.49;90.1;40.9;0.3;131.0;115.0;0.08
24;72;15:12;25.4;1.41;90.5;41.8;0.3;132.3;141.0;0.1
25;75;15:15;25.6;1.38;90.7;42.6;0.2;133.4;169.0;0.12
26;78;15:18;25.3;1.32;90.8;43.3;0.2;134.1;200.0;0.14
27;81;15:21;24.8;1.28;90.8;43.9;0.2;134.6;232.0;0.16
28;84;15:24;24.5;1.21;90.5;44.3;0.1;134.8;265.0;0.18
29;87;15:27;24.3;1.19;90.2;44.7;0.1;134.9;297.0;0.21
30;90;15:30;24.1;0.87;89.0;45.0;0.0;134.0;327.0;0.23
31;93;15:33;24.3;0.88;87.9;45.0;-0.0;132.9;355.0;0.25
32;96;15:36;24.1;0.87;86.8;44.9;-0.1;131.8;379.0;0.26
33;99;15:39;23.4;0.86;85.8;44.7;-0.1;130.5;401.0;0.28
34;102;15:42;23.6;0.85;84.7;44.5;-0.1;129.2;421.0;0.29
35;105;15:45;23.8;0.87;83.8;44.1;-0.1;127.9;438.0;0.3
36;108;15:48;23.1;0.83;82.7;43.7;-0.1;126.4;453.0;0.31
37;111;15:51;23.3;0.86;81.8;43.3;-0.2;125.1;466.0;0.32
38;114;15:54;23.1;0.85;80.9;42.8;-0.2;123.7;478.0;0.33
39;117;15:57;22.3;0.82;79.9;42.4;-0.2;122.3;488.0;0.34
40;120;16:00;22.2;0.86;79.1;41.9;-0.2;120.9;497.0;0.35
