Step;t;t_d;theta_a;K;theta_o;theta_ho;g_dot;theta_h;L;L_d
0;0;14:00;30.3;0.81;63.9;26.6;-3.4;90.5;0.0;0.0
1;3;14:03;29.9;0.87;64.0;27.6;-3.5;91.7;0.0;0.0
2;6;14:06;29.8;0.88;64.2;28.6;-3.6;92.7;1.0;0.0
3;9;14:09;29.5;0.86;64.2;28.9;-3.6;93.2;1.0;0.0
4;12;14:12;29.6;0.9;64.4;29.9;-3.7;94.3;2.0;0.0
5;15;14:15;29.5;0.92;64.6;31.0;-3.8;95.6;3.0;0.0
6;18;14:18;29.5;0.95;64.9;32.3;-3.9;97.2;3.0;0.0
7;21;14:21;28.9;0.96;65.1;33.5;-4.0;98.6;4.0;0.0
8;24;14:24;29.0;0.97;65.4;34.6;-4.1;100.0;5.0;0.0
9;27;14:27;28.6;1.0;65.7;35.9;-4.2;101.6;7.0;0.0
10;30;14:30;28.0;1.7;68.2;50.4;-5.3;118.6;14.0;0.01
11;33;14:33;28.7;1.7;70.6;61.5;-6.2;132.1;39.0;0.03
12;36;14:36;27.8;1.73;72.9;70.6;-7.0;143.5;109.0;0.08
13;39;14:39;28.1;1.72;75.2;77.2;-7.5;152.4;258.0;0.18
14;42;14:42;27.9;1.69;77.2;81.5;-7.9;158.8;508.0;0.35
15;45;14:45;27.1;1.68;79.1;84.5;-8.2;163.6;875.0;0.61
16;48;14:48;26.9;1.71;81.0;87.2;-8.5;168.2;1402.0;0.97
17;51;14:51;26.7;1.69;82.8;88.7;-8.6;171.5;2076.0;1.44
18;54;14:54;27.2;1.67;84.4;89.2;-8.8;173.6;2871.0;1.99
19;57;14:57;26.7;1.68;86.0;89.7;-8.8;175.7;3796.0;2.64
20;60;15:00;26.9;1.63;87.3;88.8;-8.8;176.1;4754.0;3.3
21;63;15:03;26.5;1.59;88.5;87.1;-8.8;175.6;5675.0;3.94
22;66;15:06;26.2;1.53;89.3;84.5;-8.6;173.8;6480.0;4.5
23;69;15:09;26.3;1.49;90.1;81.4;-8.4;171.5;7156.0;4.97
24;72;15:12;25.4;1.41;90.5;77.4;-8.2;167.8;7667.0;5.32
25;75;15:15;25.6;1.38;90.7;73.5;-7.9;164.3;8055.0;5.59
26;78;15:18;25.3;1.32;90.8;69.3;-7.6;160.1;8335.0;5.79
27;81;15:21;24.8;1.28;90.8;65.2;-7.3;156.0;8534.0;5.93
28;84;15:24;24.5;1.21;90.5;60.6;-7.0;151.1;8668.0;6.02
29;87;15:27;24.3;1.19;90.2;56.7;-6.7;146.8;8761.0;6.08
30;90;15:30;24.1;0.87;89.0;47.9;-6.0;136.9;8800.0;6.11
31;93;15:33;24.3;0.88;87.9;41.2;-5.5;129.1;8819.0;6.12
32;96;15:36;24.1;0.87;86.8;36.0;-5.1;122.8;8830.0;6.13
33;99;15:39;23.4;0.86;85.8;31.8;-4.8;117.5;8836.0;6.14
34;102;15:42;23.6;0.85;84.7;28.4;-4.5;113.1;8840.0;6.14
35;105;15:45;23.8;0.87;83.8;26.2;-4.3;110.0;8843.0;6.14
36;108;15:48;23.1;0.83;82.7;23.9;-4.1;106.6;8846.0;6.14
37;111;15:51;23.3;0.86;81.8;22.7;-4.0;104.5;8847.0;6.14
38;114;15:54;23.1;0.85;80.9;21.7;-3.9;102.6;8849.0;6.15
39;117;15:57;22.3;0.82;79.9;20.4;-3.8;100.4;8850.0;6.15
40;120;16:00;22.2;0.86;79.1;20.3;-3.8;99.3;8851.0;6.15
