Step;t;t_d;theta_a;K;theta_o;theta_h1;theta_h2;theta_h;L;L_d
0;0;14:00;30.3;0.81;63.9;53.2;-26.6;90.5;0.0;0.0
1;3;14:03;29.9;0.87;64.0;54.3;-26.7;91.7;0.0;0.0
2;6;14:06;29.8;0.88;64.2;55.4;-26.8;92.7;1.0;0.0
3;9;14:09;29.5;0.86;64.2;55.9;-26.9;93.2;1.0;0.0
4;12;14:12;29.6;0.9;64.4;57.0;-27.1;94.3;2.0;0.0
5;15;14:15;29.5;0.92;64.6;58.2;-27.2;95.6;3.0;0.0
6;18;14:18;29.5;0.95;64.9;59.8;-27.5;97.2;3.0;0.0
7;21;14:21;28.9;0.96;65.1;61.2;-27.7;98.6;4.0;0.0
8;24;14:24;29.0;0.97;65.4;62.5;-27.9;100.0;5.0;0.0
9;27;14:27;28.6;1.0;65.7;64.1;-28.2;101.6;7.0;0.0
10;30;14:30;28.0;1.7;68.2;80.3;-29.9;118.6;14.0;0.01
11;33;14:33;28.7;1.7;70.6;93.0;-31.5;132.1;39.0;0.03
12;36;14:36;27.8;1.73;72.9;103.6;-33.1;143.5;109.0;0.08
13;39;14:39;28.1;1.72;75.2;111.8;-34.6;152.4;258.0;0.18
14;42;14:42;27.9;1.69;77.2;117.5;-36.0;158.8;508.0;0.35
15;45;14:45;27.1;1.68;79.1;121.8;-37.3;163.6;875.0;0.61
16;48;14:48;26.9;1.71;81.0;125.8;-38.6;168.2;1402.0;0.97
17;51;14:51;26.7;1.69;82.8;128.5;-39.8;171.5;2076.0;1.44
18;54;14:54;27.2;1.67;84.4;130.2;-40.9;173.6;2871.0;1.99
19;57;14:57;26.7;1.68;86.0;131.7;-42.1;175.7;3796.0;2.64
20;60;15:00;26.9;1.63;87.3;131.8;-43.0;176.1;4754.0;3.3
21;63;15:03;26.5;1.59;88.5;131.0;-43.9;175.6;5675.0;3.94
22;66;15:06;26.2;1.53;89.3;129.0;-44.5;173.8;6480.0;4.5
23;69;15:09;26.3;1.49;90.1;126.5;-45.1;171.5;7156.0;4.97
24;72;15:12;25.4;1.41;90.5;122.9;-45.5;167.8;7667.0;5.32
25;75;15:15;25.6;1.38;90.7;119.3;-45.8;164.3;8055.0;5.59
26;78;15:18;25.3;1.32;90.8;115.3;-46.0;160.1;8335.0;5.79
27;81;15:21;24.8;1.28;90.8;111.3;-46.1;156.0;8534.0;5.93
28;84;15:24;24.5;1.21;90.5;106.6;-46.0;151.1;8668.0;6.02
29;87;15:27;24.3;1.19;90.2;102.6;-45.9;146.8;8761.0;6.08
30;90;15:30;24.1;0.87;89.0;93.1;-45.3;136.9;8800.0;6.11
31;93;15:33;24.3;0.88;87.9;85.9;-44.6;129.1;8819.0;6.12
32;96;15:36;24.1;0.87;86.8;80.0;-44.0;122.8;8830.0;6.13
33;99;15:39;23.4;0.86;85.8;75.2;-43.4;117.5;8836.0;6.14
34;102;15:42;23.6;0.85;84.7;71.2;-42.8;113.1;8840.0;6.14
35;105;15:45;23.8;0.87;83.8;68.5;-42.3;110.0;8843.0;6.14
36;108;15:48;23.1;0.83;82.7;65.6;-41.7;106.6;8846.0;6.14
37;111;15:51;23.3;0.86;81.8;63.8;-41.2;104.5;8847.0;6.14
38;114;15:54;23.1;0.85;80.9;62.3;-40.6;102.6;8849.0;6.15
39;117;15:57;22.3;0.82;79.9;60.5;-40.1;100.4;8850.0;6.15
40;120;16:00;22.2;0.86;79.1;59.9;-39.6;99.3;8851.0;6.15
